date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:55	1182/1182	---M--	200	added ('OK')	text/xml	etag:%2249e-47c45598f6500%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/man.output.manifest.filename.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/man.output.manifest.filename.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:55	1184/1184	---M--	200	added ('OK')	text/xml	etag:%224a0-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/biblioentry.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/biblioentry.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:55	1184/1184	---M--	200	added ('OK')	text/xml	etag:%224a0-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/orderedlist.label.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/orderedlist.label.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:56	1185/1185	---M--	200	added ('OK')	text/xml	etag:%224a1-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/body.font.family.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/body.font.family.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:56	1186/1186	---M--	200	added ('OK')	text/xml	etag:%224a2-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/page.height.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/page.height.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:56	1187/1187	---M--	200	added ('OK')	text/xml	etag:%224a3-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/margin.note.width.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/margin.note.width.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:56	1188/1188	---M--	200	added ('OK')	text/xml	etag:%224a4-47c45598f6500%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/index.entry.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/index.entry.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:57	1190/1190	---M--	200	added ('OK')	text/xml	etag:%224a6-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/blurb.on.titlepage.enabled.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/blurb.on.titlepage.enabled.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:57	1190/1190	---M--	200	added ('OK')	text/xml	etag:%224a6-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/output.indent.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/output.indent.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:57	1192/1192	---M--	200	added ('OK')	text/xml	etag:%224a8-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/itemizedlist.label.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/itemizedlist.label.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:58	1192/1192	---M--	200	added ('OK')	text/xml	etag:%224a8-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/profile.attribute.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/profile.attribute.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:58	1193/1193	---M--	200	added ('OK')	text/xml	etag:%224a9-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/title.font.family.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/title.font.family.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:58	1194/1194	---M--	200	added ('OK')	text/xml	etag:%224aa-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/funcsynopsis.style.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/funcsynopsis.style.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:58	1195/1195	---M--	200	added ('OK')	text/xml	etag:%224ab-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/use.id.function.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/use.id.function.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:59	1196/1196	---M--	200	added ('OK')	text/xml	etag:%224ac-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/qanda.in.toc.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/qanda.in.toc.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
